Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/5/95 16:25,48,118.5,139
10/5/95 16:26,47.7,117.9,140
10/5/95 16:26,47.7,117.9,140
10/5/95 16:27,47.3,117.3,141
10/5/95 16:28,47.3,117.3,141
10/5/95 16:28,47,116.7,142
10/5/95 16:29,47,116.7,142
10/5/95 16:30,47,116.7,142
10/5/95 16:30,47,116.7,142
10/5/95 16:31,46.6,116,143
10/5/95 16:32,46.6,116,143
10/5/95 16:32,46.6,116,143
10/5/95 16:33,46.6,116,143
10/5/95 16:34,46.6,116,143
10/5/95 16:34,46.3,115.4,144
10/5/95 16:35,46.3,115.4,144
10/5/95 16:36,46.3,115.4,144
10/5/95 16:36,46.3,115.4,144
10/5/95 16:37,46.3,115.4,144
10/5/95 16:38,46.3,115.4,144
10/5/95 16:38,46.3,115.4,144
10/5/95 16:39,46.3,115.4,144
10/5/95 16:40,46.3,115.4,144
10/5/95 16:40,45.9,114.8,145
10/5/95 16:41,45.9,114.8,145
10/5/95 16:42,45.9,114.8,145
10/5/95 16:42,45.9,114.8,145
10/5/95 16:43,45.9,114.8,145
10/5/95 16:44,45.9,114.8,145
10/5/95 16:44,45.9,114.8,145
10/5/95 16:45,45.9,114.8,145
10/5/95 16:46,45.9,114.8,145
10/5/95 16:46,45.9,114.8,145
10/5/95 16:47,45.9,114.8,145
10/5/95 16:48,45.9,114.8,145
10/5/95 16:48,45.9,114.8,145
10/5/95 16:49,45.9,114.8,145
10/5/95 16:50,45.9,114.8,145
10/5/95 16:50,45.9,114.8,145
10/5/95 16:51,45.6,114.2,146
10/5/95 16:52,45.3,113.6,147
10/5/95 16:52,44.9,112.9,148
10/5/95 16:53,44.6,112.3,149
10/5/95 16:54,44.2,111.7,150
10/5/95 16:54,43.9,111.1,151
10/5/95 16:55,43.9,111.1,151
10/5/95 16:56,43.5,110.4,152
10/5/95 16:56,43.2,109.8,153
10/5/95 16:57,43.2,109.8,153
10/5/95 16:58,43.2,109.8,153
10/5/95 16:58,42.8,109.2,154
10/5/95 16:59,42.8,109.2,154
10/5/95 17:00,42.8,109.2,154
10/5/95 17:00,42.8,109.2,154
10/5/95 17:01,42.8,109.2,154
10/5/95 17:02,42.8,109.2,154
10/5/95 17:02,42.8,109.2,154
10/5/95 17:03,42.8,109.2,154
10/5/95 17:04,42.8,109.2,154
10/5/95 17:04,42.8,109.2,154
10/5/95 17:05,42.8,109.2,154
10/5/95 17:06,42.8,109.2,154
10/5/95 17:06,43.2,109.8,153
10/5/95 17:07,43.2,109.8,153
10/5/95 17:08,43.2,109.8,153
10/5/95 17:08,43.2,109.8,153
10/5/95 17:09,43.2,109.8,153
10/5/95 17:10,43.2,109.8,153
10/5/95 17:10,43.2,109.8,153
10/5/95 17:11,43.2,109.8,153
10/5/95 17:12,43.2,109.8,153
10/5/95 17:12,43.2,109.8,153
10/5/95 17:13,43.2,109.8,153
10/5/95 17:14,43.2,109.8,153
10/5/95 17:14,43.2,109.8,153
